enrolment_token
id;freechoice;used;year;id_study_form;id_study_kind;id_klasius_srv;id_student;id_study_program;id_study_year;id_study_type
1;false;true;1;1;1;16204;1;1000468;1;1
2;false;true;2;1;1;16204;3;1000468;3;2
3;false;true;2;1;1;16204;4;1000468;2;1
4;false;true;1;1;1;16204;16;1000468;3;1
5;false;true;2;1;1;16204;16;1000468;4;1
6;false;true;3;1;1;16204;16;1000468;5;1
7;false;true;1;1;1;16204;17;1000468;3;1
8;false;true;2;1;1;16204;17;1000468;4;1
9;false;true;3;1;1;16204;17;1000468;5;1
10;false;true;1;1;1;16204;18;1000468;3;1
11;false;true;2;1;1;16204;18;1000468;4;1
12;false;true;3;1;1;16204;18;1000468;5;1
13;false;true;1;1;1;16204;19;1000468;3;1
14;false;true;2;1;1;16204;19;1000468;4;1
15;false;true;3;1;1;16204;19;1000468;5;1
16;false;true;1;1;1;16204;20;1000468;3;1
17;false;true;2;1;1;16204;20;1000468;4;1
18;false;true;3;1;1;16204;20;1000468;5;1
19;false;true;1;1;1;16204;21;1000468;3;1
20;false;true;2;1;1;16204;21;1000468;4;1
21;false;true;3;1;1;16204;21;1000468;5;1
22;false;true;1;1;1;16204;22;1000468;3;1
23;false;true;2;1;1;16204;22;1000468;4;1
24;false;true;3;1;1;16204;22;1000468;5;1
25;false;true;1;1;1;16204;23;1000468;3;1
26;false;true;2;1;1;16204;23;1000468;4;1
27;false;true;3;1;1;16204;23;1000468;5;1
28;false;true;1;1;1;16204;24;1000468;3;1
29;false;true;2;1;1;16204;24;1000468;4;1
30;false;true;3;1;1;16204;24;1000468;5;1
31;false;true;1;1;1;16204;25;1000468;3;1
32;false;true;2;1;1;16204;25;1000468;4;1
33;false;true;3;1;1;16204;25;1000468;5;1
34;false;true;1;1;1;16204;26;1000468;3;1
35;false;true;2;1;1;16204;26;1000468;4;1
36;false;true;3;1;1;16204;26;1000468;5;1
37;false;true;1;1;1;16204;27;1000468;3;1
38;false;true;2;1;1;16204;27;1000468;4;1
39;false;true;3;1;1;16204;27;1000468;5;1
40;false;true;1;1;1;16204;28;1000468;3;1
41;false;true;2;1;1;16204;28;1000468;4;1
42;false;true;3;1;1;16204;28;1000468;5;1
43;false;true;1;1;1;16204;29;1000468;3;1
44;false;true;2;1;1;16204;29;1000468;4;1
45;false;true;3;1;1;16204;29;1000468;5;1
46;false;true;1;1;1;16204;30;1000468;3;1
47;false;true;2;1;1;16204;30;1000468;4;1
48;false;true;3;1;1;16204;30;1000468;5;1
49;false;true;1;1;1;16204;31;1000468;3;1
50;false;true;2;1;1;16204;31;1000468;4;1
51;true;true;3;1;1;16204;31;1000468;5;1
52;false;true;1;1;1;16204;32;1000468;3;1
53;false;true;2;1;1;16204;32;1000468;4;1
54;false;true;3;1;1;16204;32;1000468;5;1
55;false;true;1;1;1;16204;33;1000468;3;1
56;false;true;2;1;1;16204;33;1000468;4;1
57;false;true;3;1;1;16204;33;1000468;5;1
58;false;true;1;1;1;16204;34;1000468;3;1
59;false;true;2;1;1;16204;34;1000468;4;1
60;false;true;3;1;1;16204;34;1000468;5;1
61;false;true;1;1;1;16204;35;1000468;3;1
62;false;true;2;1;1;16204;35;1000468;4;1
63;false;true;3;1;1;16204;35;1000468;5;1
64;false;true;1;1;1;16204;36;1000468;3;1
65;false;true;2;1;1;16204;36;1000468;4;1
66;false;true;3;1;1;16204;36;1000468;5;1
67;false;true;1;1;1;16204;37;1000468;3;1
68;false;true;2;1;1;16204;37;1000468;4;1
69;false;true;3;1;1;16204;37;1000468;5;1
70;false;true;1;1;1;16204;38;1000468;3;1
71;false;true;2;1;1;16204;38;1000468;4;1
72;false;true;3;1;1;16204;38;1000468;5;1
73;false;true;1;1;1;16204;39;1000468;3;1
74;false;true;2;1;1;16204;39;1000468;4;1
75;false;true;3;1;1;16204;39;1000468;5;1
76;false;true;1;1;1;16204;40;1000468;3;1
77;false;true;2;1;1;16204;40;1000468;4;1
78;false;true;3;1;1;16204;40;1000468;5;1
79;false;true;1;1;1;16204;41;1000468;3;1
80;false;true;2;1;1;16204;41;1000468;4;1
81;false;true;3;1;1;16204;41;1000468;5;1
82;false;true;1;1;1;16204;42;1000468;3;1
83;false;true;2;1;1;16204;42;1000468;4;1
84;false;true;3;1;1;16204;42;1000468;5;1
85;false;true;1;1;1;16204;43;1000468;3;1
86;false;true;2;1;1;16204;43;1000468;4;1
87;false;true;3;1;1;16204;43;1000468;5;1
88;false;true;1;1;1;16204;44;1000468;3;1
89;false;true;2;1;1;16204;44;1000468;4;1
90;false;true;3;1;1;16204;44;1000468;5;1
91;false;true;1;1;1;16204;45;1000468;3;1
92;false;true;2;1;1;16204;45;1000468;4;1
93;false;true;3;1;1;16204;45;1000468;5;1
94;false;true;1;1;1;16204;46;1000468;3;1
95;false;true;2;1;1;16204;46;1000468;4;1
96;false;true;3;1;1;16204;46;1000468;5;1
97;false;true;1;1;1;16204;47;1000468;3;1
98;false;true;2;1;1;16204;47;1000468;4;1
99;false;true;3;1;1;16204;47;1000468;5;1
100;false;true;1;1;1;16204;48;1000468;3;1
101;false;true;2;1;1;16204;48;1000468;4;1
102;true;true;3;1;1;16204;48;1000468;5;1
103;false;true;1;1;1;16204;49;1000468;3;1
104;false;true;2;1;1;16204;49;1000468;4;1
105;false;true;3;1;1;16204;49;1000468;5;1
106;false;true;1;1;1;16204;50;1000468;3;1
107;false;true;2;1;1;16204;50;1000468;4;1
108;false;true;3;1;1;16204;50;1000468;5;1
109;false;true;1;1;1;16204;51;1000468;3;1
110;false;true;2;1;1;16204;51;1000468;4;1
111;false;true;3;1;1;16204;51;1000468;5;1
112;false;true;1;1;1;16204;52;1000468;3;1
113;false;true;2;1;1;16204;52;1000468;4;1
114;false;true;3;1;1;16204;52;1000468;5;1
115;false;true;1;1;1;16204;53;1000468;3;1
116;false;true;2;1;1;16204;53;1000468;4;1
117;false;true;3;1;1;16204;53;1000468;5;1
118;false;true;1;1;1;16204;54;1000468;3;1
119;false;true;2;1;1;16204;54;1000468;4;1
120;false;true;3;1;1;16204;54;1000468;5;1
121;false;true;1;1;1;16204;55;1000468;3;1
122;false;true;2;1;1;16204;55;1000468;4;1
123;false;true;3;1;1;16204;55;1000468;5;1
124;false;true;1;1;1;16204;56;1000468;3;1
125;false;true;2;1;1;16204;56;1000468;4;1
126;true;true;3;1;1;16204;56;1000468;5;1
127;false;true;1;1;1;16204;57;1000468;3;1
128;false;true;2;1;1;16204;57;1000468;4;1
129;false;true;3;1;1;16204;57;1000468;5;1
130;false;true;1;1;1;16204;58;1000468;3;1
131;false;true;2;1;1;16204;58;1000468;4;1
132;false;true;3;1;1;16204;58;1000468;5;1
133;false;true;1;1;1;16204;59;1000468;3;1
134;false;true;2;1;1;16204;59;1000468;4;1
135;false;true;3;1;1;16204;59;1000468;5;1
136;false;true;1;1;1;16204;60;1000468;3;1
137;false;true;2;1;1;16204;60;1000468;4;1
138;false;true;3;1;1;16204;60;1000468;5;1
139;false;true;1;1;1;16204;61;1000468;3;1
140;false;true;2;1;1;16204;61;1000468;4;1
141;false;true;3;1;1;16204;61;1000468;5;1
142;false;true;1;1;1;16204;62;1000468;3;1
143;false;true;2;1;1;16204;62;1000468;4;1
144;false;true;3;1;1;16204;62;1000468;5;1
145;false;true;1;1;1;16204;63;1000468;3;1
146;false;true;2;1;1;16204;63;1000468;4;1
147;false;true;3;1;1;16204;63;1000468;5;1
148;false;true;1;1;1;16204;64;1000468;3;1
149;false;true;2;1;1;16204;64;1000468;4;1
150;true;true;3;1;1;16204;64;1000468;5;1
151;false;true;1;1;1;16204;65;1000468;3;1
152;false;true;2;1;1;16204;65;1000468;4;1
153;false;true;3;1;1;16204;65;1000468;5;1
154;false;true;1;1;1;16204;66;1000468;3;1
155;false;true;2;1;1;16204;66;1000468;4;1
156;false;true;3;1;1;16204;66;1000468;5;1
157;false;true;1;1;1;16204;67;1000468;3;1
158;false;true;2;1;1;16204;67;1000468;4;1
159;false;true;3;1;1;16204;67;1000468;5;1
160;false;true;1;1;1;16204;68;1000468;3;1
161;false;true;2;1;1;16204;68;1000468;4;1
162;false;true;3;1;1;16204;68;1000468;5;1
163;false;true;1;1;1;16204;69;1000468;3;1
164;false;true;2;1;1;16204;69;1000468;4;1
165;false;true;3;1;1;16204;69;1000468;5;1
166;false;true;1;1;1;16204;70;1000468;3;1
167;false;true;2;1;1;16204;70;1000468;4;1
168;false;true;3;1;1;16204;70;1000468;5;1
169;false;true;1;1;1;16204;71;1000468;3;1
170;false;true;2;1;1;16204;71;1000468;4;1
171;false;true;3;1;1;16204;71;1000468;5;1
172;false;true;1;1;1;16204;72;1000468;3;1
173;false;true;2;1;1;16204;72;1000468;4;1
174;false;true;3;1;1;16204;72;1000468;5;1
175;false;true;1;1;1;16204;73;1000468;3;1
176;false;true;2;1;1;16204;73;1000468;4;1
177;false;true;3;1;1;16204;73;1000468;5;1
178;false;true;1;1;1;16204;74;1000468;3;1
179;false;true;2;1;1;16204;74;1000468;4;1
180;false;true;3;1;1;16204;74;1000468;5;1
181;false;true;1;1;1;16204;75;1000468;3;1
182;false;true;2;1;1;16204;75;1000468;4;1
183;false;true;3;1;1;16204;75;1000468;5;1
184;false;true;1;1;1;16204;76;1000468;3;1
